loc,disea,n,Dvlpd_NLCD06,Forest_NLCD06,Herbaceous_NLCD06,Tract_Frag06,FragPerim06,CWED_DF06,TECI_DF06,CWED_FH06,TECI_FH06,CWED_HD06,TECI_HD06,Pop_den,Median_age,Mean_income,long,lat
1,0,21997,1.160856554,-1.128720663,-1.661073044,-0.211454959,-0.343135606,-0.677878303,-0.580915282,-1.24732623,-0.952298566,-0.710367879,-0.434732404,6.780854911,-2.069910112,0.145388118,-76.307722,36.86777
1,0,11548,-0.230596138,0.40687216,0.153297631,-0.187690276,-0.174558516,0.031036364,0.233888752,0.703124162,0.277419706,0.000292615,0.245474663,-0.39400794,-0.577405959,1.412434004,-77.604026,37.67735
1,2,11486,-1.235253469,1.635621952,0.175442976,-0.545745785,-0.514337872,-0.77141532,-0.676450475,1.203587716,1.71715968,-1.212214304,-1.330712558,-0.653224204,-0.428155544,-0.211246976,-77.512414,37.987838
1,1,10028,-0.642048866,0.247110018,1.418406445,0.441032193,0.42615597,0.206879208,0.508153698,0.402701108,0.106947871,0.109225387,0.44530508,-0.435126459,-0.38338042,0.443821531,-76.433136,36.795709
1,0,9690,-0.215481051,-0.188247837,1.164800337,0.120127624,0.143479629,0.73834428,1.334718388,-0.089027037,-0.189425092,0.094273112,0.50416015,-0.455608501,-0.726656375,-0.449498706,-77.377901,37.496996
1,4,9604,-1.202794295,1.444031942,0.236126449,0.028850688,0.006642009,-0.399605075,-0.115257741,1.533432239,1.430315552,-1.198151057,-1.370877098,-0.585973196,0.915098193,0.103912256,-77.7602,38.347891
1,0,9542,-0.77154396,0.203016815,1.480586417,0.284178256,0.285517196,-0.027248533,0.164758649,0.651501865,0.254001077,-0.179921136,0.004680791,-0.456159762,-0.458005627,0.420243859,-76.325947,36.731984
1,6,9392,-0.686460993,0.768419961,0.508114172,1.815765172,1.677998366,1.111817513,1.063047231,2.050656562,0.641322955,-0.181188734,-0.379648007,-0.428273041,2.019551266,0.651539524,-76.774247,37.294602
1,3,9227,-1.184856737,1.169285387,0.564759283,0.430932835,0.550133889,-0.781923473,-0.824054765,1.327722281,0.981721505,-0.854634621,-0.847404859,-0.488000581,0.452421906,0.091016181,-78.330826,37.921483
1,0,9211,0.916562385,-0.887847925,-0.299747096,-0.181249397,-0.16268757,0.545003916,0.777762712,-1.083093989,-0.930931309,0.757399927,1.091550643,0.2898995,-1.398283243,-0.296830019,-76.087527,36.790032
0,7,9171,-0.653033151,-0.432624124,1.833502441,-0.378957195,-0.372763502,-0.551731217,-0.361942918,0.139161446,0.278932552,-0.312644966,0.283999204,-0.650934288,0.512720558,-0.425402699,-78.967586,38.119398
0,25,9146,0.089430516,-0.368746094,0.438820567,-0.136180765,-0.234258959,0.27508227,0.413047176,0.140553866,-0.361476259,0.472296299,0.742762701,-0.145715156,-0.504000821,-0.24682814,-78.124151,39.164721
1,0,9127,-0.049954969,0.341098303,-0.232192473,-0.094504515,-0.075812259,0.711656144,0.994706541,-0.070482044,-0.304090299,0.427939412,0.671285955,-0.199387191,-0.18935488,0.350631106,-76.041959,36.771159
